0.0		1.0		2.0		3.0		4.0		5.0		6.0		70.0		63.0		27.0		19.0		
0.05		0.9		1.96		3.15		4.13		4.950495		6.005		69.93007		63.63		27.05		18.98		
0.1		0.8		1.9208		3.3075		4.26		4.90148		6.015		69.86021		64.2663		27.1		18.96		
0.15		0.7		1.882384		3.472875		4.39		4.852951		6.03		69.79042		64.90896		27.15		18.94		
0.2		0.6		1.844736		3.646519		4.52		4.804902		6.05		69.7207		65.55805		27.2		18.92		
0.25		0.5		1.807842		3.828845		4.65		4.757328		6.075		69.65105		66.21363		27.25		18.9		
0.3		0.4		1.771685		4.020287		4.78		4.710226		6.105		69.58147		66.87577		27.3		18.88		
0.35		0.3		1.736251		4.221301		4.91		4.66359		6.14		69.51195		67.54453		27.35		18.86		
0.4		0.2		1.701526		4.432366		5.04		4.617416		6.18		69.44251		68.21997		27.4		18.84		
0.45		0.1		1.667496		4.653985		5.17		4.571699		6.225		69.37314		68.90217		27.45		18.82		
0.5		0.15		1.634146		4.886684		5.3		4.526435		6.275		69.30383		69.59119		27.5		18.8		
0.55		0.16		1.601463		5.131018		5.43		4.481619		6.33		69.2346		70.28711		27.55		18.78		
0.6		0.17		1.569433		5.387569		5.56		4.437246		6.39		69.16543		70.98998		27.6		18.76		
0.65		0.18		1.538045		5.656947		5.69		4.393313		6.455		69.09634		71.69988		27.65		18.74		
0.7		0.19		1.507284		5.939795		5.82		4.349815		6.525		69.02731		72.41688		27.7		18.72		
0.75		0.2		1.477138		5.399813		5.95		4.306747		6.5325		68.95835		73.14104		27.75		18.7		
0.8		0.21		1.447595		4.908921		5.8		4.264106		6.5405		68.88946		73.87245		27.8		18.68		
0.85		0.22		1.418644		4.462656		5.65		4.221887		6.549		68.82064		74.61118		27.85		18.66		
0.9		0.23		1.390271		4.05696		5.5		4.180087		6.558		68.75189		75.35729		27.9		18.64		
0.95		0.24		1.362465		3.688145		5.35		4.1387		6.5675		68.68321		76.11086		27.95		18.62		
1.0		0.25		1.335216		3.352859		5.2		4.097722		6.5775		68.61459		76.87197		28.0		18.6		
1.05		0.26		1.308512		3.048054		5.05		4.057151		6.588		68.54605		77.64069		28.05		18.58		
1.1		0.27		1.282341		2.770958		4.9		4.016981		6.599		68.47757		78.4171		28.1		18.56		
1.15		0.28		1.256695		2.519053		4.75		3.977209		6.6105		68.40916		79.20127		28.15		18.54		
1.2		0.29		1.231561		2.290048		4.6		3.937831		6.6225		68.34082		79.99328		28.2		18.52		
1.25		0.3		1.206929		2.081862		4.45		3.898842		6.635		68.27255		80.79322		28.25		18.5		
1.3		0.31		1.182791		1.892602		4.3		3.86024		6.648		68.20434		81.60115		28.3		18.48		
1.35		0.32		1.159135		1.720547		4.15		3.82202		6.6615		68.13621		82.41716		28.35		18.46		
1.4		0.33		1.135952		1.564134		4.0		3.784178		6.6755		68.06814		83.24133		28.4		18.44		
1.45		0.34		1.113233		1.42194		3.85		3.746711		6.69		68.00014		84.07374		28.45		18.42		
1.5		0.35		1.090969		1.292672		3.7		3.709615		6.705		67.93221		84.91448		28.5		18.4		
1.55		0.36		1.069149		1.175157		3.55		3.672886		6.7205		67.86434		85.76363		28.55		18.38		
1.6		0.37		1.047766		1.068324		3.4		3.636521		6.7365		67.79654		86.62126		28.6		18.36		
1.65		0.38		1.026811		0.971204		5.1		3.600515		6.753		67.72882		87.48748		28.65		18.34		
1.7		0.39		1.006275		0.882913		4.95		3.564867		6.77		67.66115		88.36235		28.7		18.32		
1.75		0.4		0.986149		0.802648		4.8		3.529571		6.7875		67.59356		89.24597		28.75		18.3		
1.8		0.41		0.966426		0.72968		4.65		3.494625		6.8055		67.52604		90.13843		28.8		18.28		
1.85		0.42		0.947098		0.663345		4.5		3.460025		6.824		67.45858		91.03982		28.85		18.26		
1.9		0.43		0.928156		0.603041		4.35		3.425767		6.843		67.39119		91.95022		28.9		18.24		
1.95		0.44		0.909593		0.548219		4.2		3.391848		6.8625		67.32386		92.86972		28.95		18.22		
2.0		0.45		0.891401		0.498381		4.05		3.358266		6.8825		67.2566		93.79842		29.0		18.2		
2.05		0.46		0.873573		0.453074		3.9		3.325016		6.903		67.18942		94.7364		29.05		18.18		
2.1		0.47		0.856101		0.411885		3.75		3.292095		6.924		67.12229		95.68376		29.1		18.16		
2.15		0.48		0.838979		0.374441		3.6		3.2595		6.9455		67.05524		96.6406		29.15		18.14		
2.2		0.49		0.8222		0.340401		3.45		3.227227		6.9675		66.98825		97.60701		29.2		18.12		
