 -1.2	-3.9	    0.3590	 -1.2	-26	-30	-19	-18
 -1.4	-3.8	    0.3920	 -1.6	-19	-26	-18	-20
 -1.6	-2.7	    0.4020	  0.8	-18	-19	-20	-19
 -3.0	-1.2	    0.3940	  0.8	-20	-18	-19	-19
 -2.9	-0.9	    0.4000	 -0.2	-19	-20	-19	-19
 -4.1	-0.5	    0.3920	 -0.5	-19	-19	-19	-18
  0.1	-2.2	    0.3980	 -0.2	-19	-19	-18	-15
  1.5	-1.7	    0.4090	  0.6	-18	-19	-15	-12
  3.4	-3.0	    0.3850	  0.4	-15	-18	-12	-11
 -0.2	-1.5	    0.3800	  1.9	-12	-15	-11	-13
  3.3	-4.0	    0.3690	  2.7	-11	-12	-13	-11
  1.0	-6.2	    0.3660	  0.3	-13	-11	-11	-7
  4.0	-4.9	    0.3620	  0.2	-11	-13	-7	-5
  2.4	-3.0	    0.3550	  0.2	-7	-11	-5	-4
 -3.7	 4.1	    0.3460	  0.7	-5	-7	-4	-3
 -2.6	 3.2	    0.3440	 -4.8	-4	-5	-3	-4
 -3.7	 5.9	    0.3400	  0.1	-3	-4	-4	-3
 -3.4	 4.7	    0.3340	  0.0	-4	-3	-3	28
 -4.9	 6.6	    0.4020	 -1.4	-3	-4	28	16
 -3.8	10.9	    0.4330	 -9.9	28	-3	16	-6
 -6.5	 3.7	    0.4430	  4.1	16	28	-6	-18
  2.1	-1.5	    0.4910	 -8.9	-6	16	-18	-31
 -9.6	 8.4	    0.5260	  7.5	-18	-6	-31	-29
 -3.8	 4.1	    0.5200	 -3.1	-31	-18	-29	-45
 -1.0	 4.7	    0.5350	 -4.1	-29	-31	-45	-55
  2.2	 6.7	    0.5480	 -4.0	-45	-29	-55	-61
 -2.2	 4.4	    0.5620	 -2.3	-55	-45	-61	-65
 -1.7	 1.6	    0.5740	  0.9	-61	-55	-65	-60
  3.5	-0.9	    0.5600	  1.0	-65	-61	-60	-56
  3.8	 0.7	    0.5390	  2.1	-60	-65	-56	-50
  1.7	 2.0	    0.5320	 -0.5	-56	-60	-50	-52
 -0.5	-0.5	    0.5490	  0.1	-50	-56	-52	-48
  1.3	-3.9	    0.5640	 -1.9	-52	-50	-48	-46
 -1.7	 2.0	    0.5980	  1.3	-48	-52	-46	-42
  2.8	 2.9	    0.6070	  0.1	-46	-48	-42	-42
  0.1	 3.6	    0.5890	 -0.4	-42	-46	-42	-39
 -0.5	 4.6	    0.6140	  1.4	-42	-42	-39	-38
 -2.2	 4.5	    0.5940	  1.5	-39	-42	-38	-32
  0.0	 2.4	    0.6210	  0.4	-38	-39	-32	-31
 -0.9	 3.6	    0.5940	 -0.3	-32	-38	-31	-30
  1.8	 1.9	    0.5990	 -0.4	-31	-32	-30	-25
 -1.6	 3.2	    0.5890	 -0.4	-30	-31	-25	-22
 -3.4	 2.3	    0.6060	  0.0	-25	-30	-22	-22
 -3.8	-0.7	    0.6540	  2.6	-22	-25	-22	-20
 -4.2	-1.4	    0.6580	  4.3	-22	-22	-20	-22
 -4.2	 0.6	    0.6730	  1.1	-20	-22	-22	-28
 -5.6	 0.3	    0.6570	  1.7	-22	-20	-28	-28
 -4.5 	 1.6 	    0.6520	  0.2 	-28	-22	-28	-25
